Website,SightMap Integrated?,SightMap Embed,API Usage,Closest URL to SightMap,Time,Date,Cookies Rejected
https://lillimidtown.com/,Error - Check Manually,,,,12:05:57.855094,2024-01-09,
https://lillimidtown.com/,No,,No,,12:05:57,2024-01-09,
https://mckenzieseattle.com/,Yes,https://sightmap.com/embed/ryzvgdk1vln,No,https://mckenzieseattle.com/floorplans/,12:06:28,2024-01-09,
https://mckenzieseattle.com/,Yes,https://sightmap.com/embed/ryzvgdk1vln,No,https://mckenzieseattle.com/floorplans/,12:06:42,2024-01-09,
https://www.livebakerblock.com/,Yes,https://sightmap.com/embed/l8xvrmr0pjk,No,https://www.livebakerblock.com/availability,12:06:51,2024-01-09,
http://hydesquare.com,Yes,https://sightmap.com/embed/k9zw448zw87,No,http://hydesquare.com/floorplans/,12:07:05,2024-01-09,
http://hydesquare.com,Yes,https://sightmap.com/embed/k9zw448zw87,No,http://hydesquare.com/floorplans/,12:07:12,2024-01-09,
https://galleryatturtlecreek.com/,Yes,https://sightmap.com/embed/l8epmydkp6d,No,https://galleryatturtlecreek.com/floorplans/,12:07:21,2024-01-09,
http://theglennapts.com/,Yes,https://sightmap.com/embed/5rxwj90jp1e,No,http://theglennapts.com/Floor-plans.aspx,12:07:25,2024-01-09,
http://waterwallplace.com,Yes,https://sightmap.com/embed/api,No,http://waterwallplace.com,12:07:32,2024-01-09,
http://waterwallplace.com,Yes,https://sightmap.com/embed/api,No,http://waterwallplace.com,12:07:34,2024-01-09,
https://mondriancityplace.com/,Yes,https://sightmap.com/embed/05eveek2vqo,No,https://mondriancityplace.com/,12:07:37,2024-01-09,
https://www.vintageapartments.com/,No,,No,,12:07:59,2024-01-09,
https://www.vintageapartments.com/,No,,No,,12:08:17,2024-01-09,
http://livetherice.com,No,,No,,12:08:24,2024-01-09,
http://livetherice.com,No,,No,,12:08:28,2024-01-09,
http://2785speer.com,No,,No,,12:09:50,2024-01-09,
http://2785speer.com,No,,No,,12:10:54,2024-01-09,
https://www.eighthandgrand.com/,No,,No,,12:11:36,2024-01-09,
http://thepalmerliving.com,Yes,https://sightmap.com/embed/4yjp20q9wxl,No,http://thepalmerliving.com,12:11:50,2024-01-09,
http://thepalmerliving.com,Yes,https://sightmap.com/embed/4yjp20q9wxl,No,http://thepalmerliving.com,12:11:52,2024-01-09,
http://thegranddenver.com/,No,,No,,12:11:59,2024-01-09,
https://www.inspiranaples.com/,Yes,https://sightmap.com/embed/4yjp2m69vxl,No,https://www.inspiranaples.com/sitemap,12:12:04,2024-01-09,
https://www.inspiranaples.com/,Yes,https://sightmap.com/embed/4yjp2m69vxl,No,https://www.inspiranaples.com/sitemap,12:12:08,2024-01-09,
http://www.carmelapartments.com/towers-at-rincon-san-francisco-ca,No,,No,,12:12:09,2024-01-09,
http://www.carmelapartments.com/towers-at-rincon-san-francisco-ca,No,,No,,12:12:09,2024-01-09,
